#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Iroh says : " I 'm going after those airplanes . " 
1-1	0-4	Iroh	*	PER	*->1-1	*[1]
5-9	197-200	rid	_	_	_	_
5-10	201-204	the	_	_	_	_
5-11	205-210	world	_	_	_	_
5-12	211-213	of	_	_	_	_
5-13	214-224	airbending	_	_	_	_
5-14	225-226	,	_	_	_	_
5-15	227-234	forever	_	_	_	_
5-16	235-236	.	_	_	_	_

#Text=" Korra says : " Amon , let them go ! 
6-1	237-238	"	_	_	_	_
6-2	239-244	Korra	*	PER	_	_
6-3	245-249	says	_	_	_	_
6-4	250-251	:	_	_	_	_
6-5	252-253	"	_	_	_	_
6-6	254-258	Amon	_	_	*->4-3	*[4]
6-7	259-260	,	_	_	_	_
6-8	261-264	let	_	_	_	_
6-9	265-269	them	_	_	_	_
6-10	270-272	go	_	_	_	_
6-11	273-274	!	_	_	_	_

#Text=" Amon says : " You 're welcome to come down here and try to stop me . 
7-1	275-276	"	_	_	_	_
7-2	277-281	Amon	*	PER	*->4-4	*[4]
7-3	282-286	says	_	_	_	_
7-4	287-288	:	_	_	_	_
7-5	289-290	"	_	_	_	_
7-6	291-294	You	_	_	_	_
7-7	295-298	're	_	_	_	_
7-8	299-306	welcome	_	_	_	_
7-9	307-309	to	_	_	_	_
7-10	310-314	come	_	_	_	_
7-11	315-319	down	_	_	_	_
7-12	320-324	here	_	_	_	_
7-13	325-328	and	_	_	_	_
7-14	329-332	try	_	_	_	_
7-15	333-335	to	_	_	_	_
7-16	336-340	stop	_	_	_	_
7-17	341-343	me	_	_	*->4-5	*[4]
7-18	344-345	.	_	_	_	_

#Text=" Mako says : " He 's trying to bait you . 
8-1	346-347	"	_	_	_	_
8-2	348-352	Mako	*	PER	_	_
8-3	353-357	says	_	_	_	_
8-4	358-359	:	_	_	_	_
8-5	360-361	"	_	_	_	_
8-6	362-364	He	_	_	*->4-6	*[4]
8-7	365-367	's	_	_	_	_
8-8	368-374	trying	_	_	_	_
8-9	375-377	to	_	_	_	_
8-10	378-382	bait	_	_	_	_
8-11	383-386	you	_	_	*->6-1	*[6]
8-12	387-388	.	_	_	_	_

#Text=" Korra says : " I do n't care ! 
9-1	389-390	"	_	_	_	_
9-2	391-396	Korra	*	PER	_	_
9-3	397-401	says	_	_	_	_
9-4	402-403	:	_	_	_	_
9-5	404-405	"	_	_	_	_
9-6	406-407	I	_	_	_	_
9-7	408-410	do	_	_	_	_
9-8	411-414	n't	_	_	_	_
9-9	415-419	care	_	_	_	_
9-10	420-421	!	_	_	_	_

#Text=We have to save them ! 
10-1	422-424	We	_	_	*->6-2	*[6]
10-2	425-429	have	_	_	_	_
10-3	430-432	to	_	_	_	_
10-4	433-437	save	_	_	_	_
10-5	438-442	them	_	_	_	_
10-6	443-444	!	_	_	_	_

#Text=" Amon says : " The Avatar needs to be reminded of the power I possess . 
11-1	445-446	"	_	_	_	_
11-2	447-451	Amon	*	PER	*->4-7	*[4]
11-3	452-456	says	_	_	_	_
11-4	457-458	:	_	_	_	_
11-5	459-460	"	_	_	_	_
11-6	461-464	The	_	_	_	_
11-7	465-471	Avatar	_	_	_	_
11-8	472-477	needs	_	_	_	_
11-9	478-480	to	_	_	_	_
11-10	481-483	be	_	_	_	_
11-11	484-492	reminded	_	_	_	_
11-12	493-495	of	_	_	_	_
11-13	496-499	the	_	_	_	_
11-14	500-505	power	_	_	_	_
11-15	506-507	I	_	_	*->4-8	*[4]
11-16	508-515	possess	_	_	_	_
11-17	516-517	.	_	_	_	_

#Text=" Korra says : " Where are Pema and the baby ? 
12-1	518-519	"	_	_	_	_
12-2	520-525	Korra	*	PER	_	_
12-3	526-530	says	_	_	_	_
12-4	531-532	:	_	_	_	_
12-5	533-534	"	_	_	_	_
12-6	535-540	Where	_	_	_	_
12-7	541-544	are	_	_	_	_
12-8	545-549	Pema	*	PER	_	_
12-9	550-553	and	_	_	_	_
12-10	554-557	the	_	_	_	_
12-11	558-562	baby	_	_	_	_
12-12	563-564	?	_	_	_	_

#Text=" Tenzin says : " In prison . 
13-1	565-566	"	_	_	*->2-1	*[2]
13-2	567-573	Tenzin	*	PER	*->2-1	*[2]
13-3	574-578	says	_	_	*->2-1	*[2]
13-4	579-580	:	_	_	*->2-1	*[2]
13-5	581-582	"	_	_	*->2-1	*[2]
13-6	583-585	In	_	_	*->2-1	*[2]
13-7	586-592	prison	_	_	*->2-1	*[2]
13-8	593-594	.	_	_	_	_

#Text=" Korra says : " Beifong ? 
14-1	595-596	"	_	_	*->5-1	*[5]
14-2	597-602	Korra	*	PER	*->5-1	*[5]
14-3	603-607	says	_	_	_	_
14-4	608-609	:	_	_	_	_
14-5	610-611	"	_	_	_	_
14-6	612-619	Beifong	_	_	_	_
14-7	620-621	?	_	_	_	_

#Text=" Tenzin says : " I do n't know . 
15-1	622-623	"	_	_	_	_
15-2	624-630	Tenzin	*	PER	*->2-2	*[2]
15-3	631-635	says	_	_	_	_
15-4	636-637	:	_	_	_	_
15-5	638-639	"	_	_	_	_
15-6	640-641	I	_	_	*->2-3	*[2]
15-7	642-644	do	_	_	_	_
15-8	645-648	n't	_	_	_	_
15-9	649-653	know	_	_	_	_
15-10	654-655	.	_	_	_	_

#Text=" Korra says : " Follow me , kids . 
16-1	656-657	"	_	_	_	_
16-2	658-663	Korra	*	PER	*->5-7	*[5]
16-3	664-668	says	_	_	_	_
16-4	669-670	:	_	_	_	_
16-5	671-672	"	_	_	_	_
16-6	673-679	Follow	_	_	_	_
16-7	680-682	me	_	_	*->5-8	*[5]
16-8	683-684	,	_	_	_	_
16-9	685-689	kids	_	_	_	_
16-10	690-691	.	_	_	_	_

#Text=" 
17-1	692-693	"	_	_	_	_
